timestamp,rank,epoch,step,tokens,duration_s,tokens_per_second,inclusive_tokens_per_second,loss,status,warmup_excluded
1778703384.5956206,0,0,1,32,0.0078108,0.0,4096.891483586829,3.7966175079345703,ok,True
1778703384.6043696,0,0,3,32,0.0015111,21176.626298722786,21176.626298722786,3.6990838050842285,ok,False
1778703384.6079552,0,0,4,32,0.0019769,16186.959380848803,16186.959380848803,3.7841830253601074,ok,False
1778703384.6116226,0,0,5,32,0.0017253,18547.49898568365,18547.49898568365,3.7337398529052734,ok,False
